Report generated 2026-08-07T14:05:08.462325+00:00

Entity                            Created   Target
--------------------------------------------------
blogposts                              10       10
bookings                              240      240
bookingvisitors                        82        -
calendareventcategories                 4        4
calendarevents                         20       20
cancelledbookings                      40        -
checkins                              300      300
communitygroups                         3        3
communitymessages                      39       40  <-- below target
communitythreads                       15       15
contractdeposits                       10       10
contractpausedperiods                  12       12
contractproducts                       30       30
coworkerbookingcredits                 25       25
coworkerbookingcreditusehistories       49        -
coworkercontracts                      90       90
coworkerdatafiles                      10       10
coworkerdeliveries                     40       40
coworkerextraservices                  80       80
coworkerinventoryassets                12       12
coworkerinvoices                       20        -
coworkerledgerentries                 365        -
coworkerproducts                       20       20
coworkers                              60       60
coworkertasks                          20       20
coworkertimepasses                    159       40
crmboardcolumns                        10       10
crmboards                               2        2
crmopportunities                       30       30
crmopportunityhistories                87       60
discountcodes                           6        6
eventattendees                         60       60
eventproducts                          20        -
extraservices                           7        6
financialaccounts                       8        8
floorplandesks                         68       40
floorplans                              3        3
helpdeskdepartments                     3        3
helpdeskmessages                       25       25
inventoryassets                        15       15
opportunitytypes                        4        -
products                               12       15  <-- below target
proposals                              15       15
resources                              20       20
resourcetypes                           5        5
tariffextraservices                    14        -
tariffs                                 8        8
tarifftimepasses                        6        -
taxrates                                3        3
teams                                   5        5
timepasses                              4        4
visitors                               60       60

Total tracked records: 2255
