Id,CancelledBookingIndex,Category
1455718090,11,no_show
1455718092,12,cost_concerns
1455718093,13,rebooked
1455718094,14,failed_to_pay
1455718095,15,rebooked
1455718152,16,no_longer_needed
1455718153,17,no_longer_needed
1455718096,18,failed_to_pay
1455718154,19,cost_concerns
1455718097,20,no_show
1455718155,21,rebooked
1455718156,23,no_longer_needed
1455718099,24,no_longer_needed
1455718100,25,no_show
1455718101,26,no_longer_needed
1455718157,27,rebooked
1455718102,28,no_longer_needed
1455718158,29,no_longer_needed
1455718159,30,rebooked
1455718160,31,no_show
1455718104,32,cost_concerns
1455718105,33,no_show
1455718162,35,no_longer_needed
1455718106,37,no_longer_needed
1455718164,38,cost_concerns
1455718107,39,no_longer_needed
1455718165,40,rebooked
1455718166,41,no_longer_needed
1455718167,42,failed_to_pay
1455718108,43,rebooked
1455718109,44,no_longer_needed
1455718169,45,rebooked
1455718171,46,rebooked
1455718173,48,no_longer_needed
1455718174,49,no_longer_needed
