Id,OpportunityIndex,Stage
1416693192,1,Lead
1416693490,2,Lead
1416693193,3,Lead
1416693194,4,Lead
1416693491,5,Lead
1416693195,6,Lead
1416693205,7,Qualified
1416693206,8,Qualified
1416693525,9,Qualified
1416693235,10,Qualified
1416693236,11,Qualified
1416693526,12,Proposal Sent
1416693527,13,Proposal Sent
1416693237,14,Proposal Sent
1416693528,15,Proposal Sent
1416693529,16,Negotiation
1416693530,17,Negotiation
1416693238,18,Negotiation
1416693239,19,Negotiation
1416693240,20,Won
1416693241,21,Won
1416693531,22,Won
1416693242,23,Won
1416693243,24,Won
1416693244,25,Lost
1416693245,26,Lost
1416693246,27,Lost
1416693247,28,Lost
1416693248,29,Lost
1416693249,30,Lost
