Id,CreatedOn,CustomFields,ExtraServiceChargePeriod,ExtraServiceId,ExtraServiceIsBookingCredit,ExtraServiceIsPrintingCredit,ExtraServiceName,IsNew,LocalizationDetails,ServiceRenewalTime,SystemId,Tariff,TariffId,TariffName,ToStringText,UniqueId,UpdatedBy,UpdatedOn,UsesIncluded
1415239473,2026-08-27T08:25:00.7179967Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Hot Desk Monthly,1415418446,Hot Desk Monthly,Hot Desk Monthly,0c2797d2-b815-414f-a9b2-cce8be166eb8,matheus+explore@nexudus.com,2026-08-27T08:25:00.7179967Z,120
1415239372,2026-08-27T08:25:01.8097971Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Hot Desk Monthly,1415418446,Hot Desk Monthly,Hot Desk Monthly,5918d06e-20e4-48d0-9008-b8dfa751f527,matheus+explore@nexudus.com,2026-08-27T08:25:01.8097971Z,100
1415239474,2026-08-27T08:25:04.3132436Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Dedicated Desk Monthly,1415418447,Dedicated Desk Monthly,Dedicated Desk Monthly,f1092bcc-0161-4ba8-b2c4-b3d6ccbfbb1e,matheus+explore@nexudus.com,2026-08-27T08:25:04.3132436Z,180
1415239475,2026-08-27T08:25:14.3047903Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Dedicated Desk Monthly,1415418447,Dedicated Desk Monthly,Dedicated Desk Monthly,40d9d432-64ce-4ad0-8f57-b84796348a47,matheus+explore@nexudus.com,2026-08-27T08:25:14.3047903Z,150
1415239476,2026-08-27T08:25:16.6342884Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Private Office Small,1415418448,Private Office Small,Private Office Small,3807572c-e85e-40e2-a41d-bfd829e221dd,matheus+explore@nexudus.com,2026-08-27T08:25:16.6342884Z,240
1415239477,2026-08-27T08:25:17.7912135Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Private Office Small,1415418448,Private Office Small,Private Office Small,4e05bec9-9d5e-44b7-b3d6-bea484b70b6c,matheus+explore@nexudus.com,2026-08-27T08:25:17.7912135Z,200
1415239373,2026-08-27T08:25:19.8665Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Private Office Large,1415418344,Private Office Large,Private Office Large,49459c6c-89f1-49a2-9954-08026fba80fb,matheus+explore@nexudus.com,2026-08-27T08:25:19.8665Z,300
1415239478,2026-08-27T08:25:20.8826423Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Private Office Large,1415418344,Private Office Large,Private Office Large,f489c35f-498a-4802-92c1-95b70e0e03cf,matheus+explore@nexudus.com,2026-08-27T08:25:20.8826423Z,300
1415239374,2026-08-27T08:25:23.2244223Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Hot Desk Quarterly,1415418449,Hot Desk Quarterly,Hot Desk Quarterly,00eca293-18b6-4d15-91f1-a5391ff09404,matheus+explore@nexudus.com,2026-08-27T08:25:23.2244223Z,120
1415239375,2026-08-27T08:25:24.7883541Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Hot Desk Quarterly,1415418449,Hot Desk Quarterly,Hot Desk Quarterly,ec3aaae2-e90b-4fcb-a3a4-bc852a8060bb,matheus+explore@nexudus.com,2026-08-27T08:25:24.7883541Z,100
1415239479,2026-08-27T08:26:24.7851836Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Private Office Annual,1415418450,Private Office Annual,Private Office Annual,3e92c0d8-b2b2-4a1f-ba99-2c85474bc0b2,matheus+explore@nexudus.com,2026-08-27T08:26:24.7851836Z,300
1415239480,2026-08-27T08:26:25.7226906Z,,Uses,1415386335,False,True,Printing Credit,False,,3,,Private Office Annual,1415418450,Private Office Annual,Private Office Annual,22b22724-133c-4c25-b922-fbb54433b6cb,matheus+explore@nexudus.com,2026-08-27T08:26:25.7226906Z,300
1415239481,2026-08-27T08:26:26.505316Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Flex Weekly,1415418345,Flex Weekly,Flex Weekly,620b61b0-be45-4759-947d-b3b07a6e9823,matheus+explore@nexudus.com,2026-08-27T08:26:26.505316Z,60
1415239482,2026-08-27T08:26:27.3334419Z,,Minutes,1415386334,True,False,Time Credit,False,,3,,Flex Fortnightly,1415418346,Flex Fortnightly,Flex Fortnightly,6d74cd51-3e70-47e5-9bbf-f9a8d57dc5cd,matheus+explore@nexudus.com,2026-08-27T08:26:27.3334419Z,90
